order_date,"Revenue Per Day"
2025-11-25,767.50
2025-11-23,646.25
2025-11-30,542.50
2025-11-28,521.25
2025-11-27,508.75
2025-11-26,476.25
2025-11-24,407.50
2025-12-02,375.00
2025-12-23,356.25
2025-12-01,326.25
2025-12-28,325.00
2025-11-29,295.00
2026-01-02,293.75
2025-12-24,280.00
2026-01-07,262.50
2025-12-29,255.00
2026-01-12,231.25
2026-01-03,230.00
2025-12-25,206.25
2026-01-08,205.00
2026-01-17,200.00
2025-12-30,187.50
2026-01-13,180.00
2026-01-22,168.75
2025-12-03,168.75
2026-01-04,168.75
2026-01-18,155.00
2026-01-09,150.00
2026-01-27,137.50
2025-12-08,137.50
2025-12-26,135.00
2026-01-14,131.25
2025-12-04,130.00
2026-01-23,130.00
2025-12-31,122.50
2026-01-19,112.50
2026-01-05,110.00
2026-02-01,106.25
2025-12-13,106.25
2026-01-28,105.00
2025-12-09,105.00
2026-01-10,97.50
2025-12-05,93.75
2026-01-24,93.75
2026-01-15,85.00
2026-02-02,80.00
2025-12-14,80.00
2025-12-18,75.00
2026-01-29,75.00
2025-12-10,75.00
2026-02-06,75.00
2026-01-20,72.50
2025-12-27,66.25
2026-01-01,60.00
2025-12-06,60.00
2026-01-25,60.00
2025-12-15,56.25
2026-02-03,56.25
2025-12-19,55.00
2026-02-07,55.00
2026-01-06,53.75
2026-01-30,47.50
2026-01-11,47.50
2025-12-11,47.50
2026-01-16,41.25
2025-12-20,37.50
2026-02-08,37.50
2026-01-21,35.00
2025-12-16,35.00
2026-02-04,35.00
2026-01-26,28.75
2025-12-07,28.75
2026-01-31,22.50
2025-12-21,22.50
2025-12-12,22.50
2026-02-09,22.50
2025-12-17,16.25
2026-02-05,16.25
2025-12-22,10.00
